01/28/2020,0,0,0,0,0
03/01/2020,2,2,0,0,0
03/02/2020,2,0,0,0,0
03/03/2020,5,3,0,0,0
03/04/2020,9,4,0,0,0
03/05/2020,13,4,0,0,0
03/06/2020,20,7,0,0,0
03/07/2020,21,1,0,0,0
03/08/2020,30,9,0,0,0
03/09/2020,41,11,0,0,0
03/10/2020,59,18,0,0,0
03/12/2020,78,19,0,0,1
03/13/2020,112,34,0,0,1
03/14/2020,169,57,0,0,2
03/15/2020,245,76,0,0,2
03/16/2020,331,86,1,1,3
03/17/2020,448,117,0,1,3
03/18/2020,642,194,1,2,4
03/19/2020,786,144,2,4,4
03/20/2020,1020,234,2,6,5
03/21/2020,1280,260,6,12,5
03/22/2020,1600,320,2,14,5
03/23/2020,2060,460,9,23,14
03/24/2020,2362,302,10,33,22
03/26/2020,3544,1182,27,60,43
03/27/2020,4268,724,16,76,43
03/28/2020,5170,902,24,100,43
03/29/2020,5962,792,19,119,43
